iter	RMSE
0	0.4130197737
1	0.3921289953
2	0.3724356829
3	0.355109628
4	0.3398464337
5	0.326202641
6	0.3138780488
7	0.3015484673
8	0.290881187
9	0.2808122005
10	0.2718938036
11	0.2635645527
12	0.2566110567
13	0.2496363964
14	0.2433158354
15	0.2378503066
16	0.2328416472
17	0.2284618509
18	0.2243554111
19	0.2206461442
20	0.2171976541
21	0.2139072807
22	0.2107667341
23	0.2074751115
24	0.2049722736
25	0.2025980825
26	0.2003783803
27	0.1980695855
28	0.196037208
29	0.1941041626
30	0.1924503199
31	0.1907475206
32	0.189236299
33	0.1878623609
34	0.1862991035
35	0.1850042088
36	0.1836537017
37	0.1826385615
38	0.181563004
39	0.180557966
40	0.1795777822
41	0.1787371736
42	0.1777301653
43	0.1769863768
44	0.176134722
45	0.1751625305
46	0.1744704135
47	0.1736574771
48	0.17267742
49	0.1718728186
50	0.1713445253
51	0.17075116
52	0.170128435
53	0.1696399421
54	0.1691165078
55	0.1687067709
56	0.1680465113
57	0.1674905528
58	0.1667610157
59	0.1662583626
60	0.1655993613
61	0.1651271211
62	0.1646487311
63	0.1641534801
64	0.1637513373
65	0.1635857851
66	0.1631084616
67	0.162801349
68	0.1622568455
69	0.1620564622
70	0.1617466724
71	0.1612278003
72	0.160853627
73	0.1605037062
74	0.1601345591
75	0.1595422957
76	0.1591066929
77	0.1586850203
78	0.1584709041
79	0.1579289835
80	0.1575976575
81	0.1572204947
82	0.1566608249
83	0.1563765076
84	0.1562300801
85	0.155888834
86	0.1555810071
87	0.1551778334
88	0.1545679641
89	0.1544319683
90	0.1542240573
91	0.1540252258
92	0.1539131715
93	0.1537387888
94	0.1534915338
95	0.1532164599
96	0.1529881166
97	0.1524513126
98	0.1520943937
99	0.1518022011
100	0.1515488073
101	0.1513027351
102	0.1508943348
103	0.1504997635
104	0.1503083974
105	0.1499470262
106	0.1497521441
107	0.1495386206
108	0.1493122537
109	0.1490979966
110	0.1489626043
111	0.1486402299
112	0.1483816864
113	0.1481881391
114	0.1478353367
115	0.1476320106
116	0.1474060736
117	0.1469986077
118	0.1467692788
119	0.1466033004
120	0.1463946257
121	0.1460602494
122	0.1458687502
123	0.1456229761
124	0.1453712025
125	0.1451997842
126	0.1449237038
127	0.1445321923
128	0.1443006535
129	0.1439367808
130	0.1438332479
131	0.1434649588
132	0.1433063091
133	0.1429612987
134	0.1427065746
135	0.1425933746
136	0.1423808841
137	0.1422053984
138	0.1420659946
139	0.1418831477
140	0.1417573781
141	0.1415664192
142	0.1414543502
143	0.1412461852
144	0.1411124383
145	0.1409729726
146	0.1406211253
147	0.1404645472
148	0.1401743339
149	0.1399362475
150	0.1395963901
151	0.1392954288
152	0.1392426185
153	0.1391334198
154	0.138940712
155	0.1386785244
156	0.1383274417
157	0.1380554836
158	0.1379037803
159	0.1378236692
160	0.1375835322
161	0.1373669458
162	0.1372040387
163	0.1370796259
164	0.1368023079
165	0.1365375573
166	0.1365212126
167	0.1364511565
168	0.1361844332
169	0.1361110964
170	0.1360845151
171	0.1360526876
172	0.1357629265
173	0.1355349463
174	0.1353931494
175	0.1351983013
176	0.1350570668
177	0.1349199128
178	0.1348128532
179	0.1347350299
180	0.1346015949
181	0.1345118656
182	0.1343914884
183	0.1342714739
184	0.1341545254
185	0.1339708566
186	0.1339056807
187	0.1338090142
188	0.1337256716
189	0.1337035265
190	0.133569852
191	0.1333116984
192	0.1331108543
193	0.1330243895
194	0.132934285
195	0.1327798968
196	0.1326504383
197	0.1325362216
198	0.1324233396
199	0.1321838038
200	0.1320827466
201	0.1317289586
202	0.131631986
203	0.1315592277
204	0.1313903957
205	0.1313045463
206	0.1312118457
207	0.1310905293
208	0.1309611761
209	0.130723743
210	0.1306032028
211	0.1304090515
212	0.1303414863
213	0.1303074839
214	0.1299771223
215	0.1298648812
216	0.1297705133
217	0.1296684539
218	0.1295879948
219	0.1294253754
220	0.1292275552
221	0.1291231049
222	0.1290169431
223	0.1289012621
224	0.1287815886
225	0.1287554698
226	0.1285906227
227	0.1284674216
228	0.1283823
229	0.1283000709
230	0.1281505941
231	0.1280605713
232	0.1280029989
233	0.1277529972
234	0.1277000995
235	0.1276166361
236	0.1274840806
237	0.1273409853
238	0.1272471281
239	0.1270972083
240	0.127012263
241	0.1268561979
242	0.1266908984
243	0.1265765821
244	0.1264741116
245	0.1263943935
246	0.1263179102
247	0.1262049113
248	0.1261599357
249	0.1259858472
250	0.1259278519
251	0.1258362299
252	0.1257857554
253	0.1257525304
254	0.1256321615
255	0.1255615058
256	0.125421885
257	0.1253237577
258	0.1252388177
259	0.1251600774
260	0.1251126389
261	0.1249553825
262	0.1249296668
263	0.1248145147
264	0.1247173538
265	0.1246316053
266	0.1244812916
267	0.1244332704
268	0.1241997075
269	0.1240740496
270	0.124057445
271	0.1239046694
272	0.1238823774
273	0.1238573394
274	0.1237208353
275	0.1236969566
276	0.1235860809
277	0.1234738834
278	0.1233684238
279	0.1232739646
280	0.1232416736
281	0.1231285494
282	0.1230604092
283	0.1229445328
284	0.1229275546
285	0.1228759747
286	0.1227912428
287	0.1226591687
288	0.1225524166
289	0.122459994
290	0.1222507566
291	0.1221264095
292	0.1220185258
293	0.1219513493
294	0.1218777955
295	0.1217563879
296	0.1216741502
297	0.1215858039
298	0.1214853797
299	0.1213762404
300	0.1213155487
301	0.1211311424
302	0.1210550256
303	0.1210530512
304	0.1208878913
305	0.1207799841
306	0.120709571
307	0.1206282123
308	0.1205941876
309	0.1205238099
310	0.1204318238
311	0.1203612183
312	0.1203596187
313	0.1202264602
314	0.1201820981
315	0.1201236904
316	0.1200571939
317	0.1199269731
318	0.1198296893
319	0.1197783948
320	0.11966272
321	0.119502959
322	0.1193880367
323	0.1193537263
