iter	Passed	Remaining
0	206	165082
1	252	100872
2	299	79568
3	346	68996
4	397	63169
5	464	61524
6	519	58859
7	573	56745
8	630	55373
9	693	54817
10	751	53876
11	803	52770
12	886	53661
13	972	54613
14	1059	55446
15	1139	55813
16	1203	55412
17	1251	54351
18	1299	53422
19	1345	52463
20	1392	51668
21	1481	52378
22	1587	53639
23	1684	54472
24	1787	55404
25	1891	56304
26	1993	57076
27	2091	57664
28	2191	58262
29	2271	58296
30	2325	57680
31	2372	56947
32	2416	56168
33	2485	55996
34	2578	56359
35	2683	56955
36	2789	57516
37	2898	58118
38	2995	58444
39	3088	58672
40	3179	58851
41	3261	58857
42	3363	59211
43	3460	59461
44	3539	59378
45	3586	58783
46	3630	58163
47	3674	57570
48	3753	57524
49	3855	57829
50	3955	58085
51	4051	58278
52	4162	58667
53	4259	58840
54	4362	59092
55	4447	59084
56	4546	59264
57	4648	59467
58	4752	59688
59	4849	59808
60	4902	59394
61	4944	58860
62	4994	58432
63	5084	58466
64	5179	58573
65	5279	58709
66	5374	58804
67	5469	58878
68	5616	59505
69	5707	59518
70	5757	59113
71	5807	58719
72	5900	58762
73	5982	58693
74	6066	58638
75	6138	58475
76	6208	58292
77	6305	58369
78	6406	58465
79	6489	58403
80	6540	58058
81	6587	57681
82	6641	57375
83	6703	57141
84	6777	57014
85	6836	56761
86	6892	56484
87	6948	56223
88	7007	55979
89	7073	55798
90	7139	55628
91	7198	55399
92	7255	55159
93	7315	54947
94	7384	54798
95	7448	54623
96	7509	54426
97	7557	54139
98	7617	53937
99	7710	53976
100	7810	54056
101	7900	54061
102	7995	54106
103	8053	53894
104	8105	53647
105	8158	53412
106	8210	53174
107	8288	53106
108	8348	52923
109	8435	52912
110	8533	52970
111	8630	53014
112	8739	53134
113	8837	53181
114	8939	53248
115	9046	53345
116	9134	53326
117	9189	53112
118	9238	52867
119	9284	52614
120	9334	52383
121	9428	52400
122	9480	52179
123	9533	51970
124	9577	51716
125	9619	51455
126	9664	51213
127	9713	50997
128	9760	50769
129	9813	50575
130	9908	50600
131	9968	50446
132	10044	50376
133	10127	50335
134	10207	50280
135	10258	50086
136	10302	49859
137	10377	49780
138	10424	49574
139	10481	49412
140	10531	49219
141	10574	49000
142	10618	48787
143	10662	48573
144	10707	48369
145	10750	48155
146	10793	47948
147	10840	47755
148	10898	47616
149	10976	47566
150	11022	47373
151	11071	47199
152	11115	47004
153	11163	46827
154	11235	46754
155	11332	46782
156	11445	46874
157	11528	46844
158	11577	46674
159	11623	46493
160	11669	46314
161	11715	46137
162	11762	45965
163	11808	45793
164	11858	45637
165	11912	45498
166	11961	45339
167	12009	45180
168	12057	45018
169	12108	44871
170	12159	44725
171	12212	44591
172	12307	44604
173	12411	44653
174	12485	44589
175	12531	44430
176	12581	44284
177	12666	44260
178	12744	44213
179	12797	44078
180	12891	44088
181	12953	43984
182	13030	43932
183	13119	43920
184	13217	43940
185	13284	43852
186	13337	43720
187	13385	43573
188	13429	43414
189	13501	43348
190	13641	43496
191	13717	43440
192	13763	43285
193	13809	43136
194	13892	43101
195	13981	43086
196	14066	43056
197	14156	43042
198	14215	42931
199	14258	42775
200	14296	42605
201	14341	42455
202	14399	42346
203	14451	42220
204	14504	42099
205	14553	41963
